feature_name,importance
median_income,0.4605540506508432
INLAND,0.1779933177995963
latitude,0.09909284209462103
longitude,0.09530356457060883
housing_median_age,0.044807396038848854
population,0.03581950484154656
total_bedrooms,0.027291631039253132
households,0.022107704817293825
total_rooms,0.021861358833408458
NEAR OCEAN,0.009394058236579293
NEAR BAY,0.0035559038376794
<1H OCEAN,0.002218667239721221
